                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3839,                 2.2221,                 1.1538,                0.71743,                0.49758,                0.55656,                0.29689,                 1.5507,                 1.6445,                 1.2979,              0.0033174,              0.0033174,              0.0033174
                      2,                 1.3443,                 1.4596,                 1.1496,                0.60497,                0.42523,                0.45115,                0.21789,                 1.7252,                 1.8549,                 1.4101,              0.0066288,              0.0066288,              0.0066288
                      3,                  1.413,                 1.4304,                 1.1925,                0.61569,                0.40982,                0.43144,                0.20291,                  1.865,                 1.8134,                 1.5504,              0.0099182,              0.0099182,              0.0099182
                      4,                 1.4993,                 1.4232,                  1.246,                0.57334,                0.39236,                0.42022,                0.20221,                 1.8391,                 1.8144,                  1.531,               0.009901,               0.009901,               0.009901
                      5,                 1.4533,                 1.2632,                 1.2178,                0.57323,                0.34516,                0.37527,                 0.1869,                 1.9416,                 1.9452,                 1.5682,               0.009868,               0.009868,               0.009868
                      6,                 1.4124,                 1.1794,                 1.1974,                0.59155,                0.43992,                 0.4615,                0.23173,                 1.8161,                  1.561,                 1.5178,               0.009835,               0.009835,               0.009835
                      7,                 1.3764,                 1.1167,                 1.1855,                0.52403,                0.34791,                0.36582,                0.17945,                 2.0029,                 1.9972,                 1.6251,               0.009802,               0.009802,               0.009802
                      8,                 1.3455,                  1.074,                 1.1835,                0.60425,                0.44163,                0.47212,                0.23493,                 1.7985,                 1.5306,                 1.4854,               0.009769,               0.009769,               0.009769
                      9,                 1.3057,                 1.0293,                 1.1654,                0.64203,                0.44841,                0.49726,                0.25385,                 1.7866,                 1.4948,                 1.4809,               0.009736,               0.009736,               0.009736
                     10,                 1.2954,                 1.0161,                 1.1513,                0.64155,                0.48201,                0.52271,                0.27274,                 1.6823,                 1.4204,                 1.4059,               0.009703,               0.009703,               0.009703
                     11,                 1.2689,                 0.9941,                 1.1436,                0.63772,                0.47306,                 0.5187,                0.26727,                 1.7403,                 1.3922,                 1.4353,                0.00967,                0.00967,                0.00967
                     12,                 1.2518,                0.96905,                 1.1358,                0.64435,                0.46923,                0.51733,                0.27687,                 1.6951,                 1.4031,                 1.4002,               0.009637,               0.009637,               0.009637
                     13,                 1.2334,                 0.9482,                 1.1337,                 0.6476,                0.46275,                 0.5222,                0.27522,                 1.7088,                 1.4152,                 1.4086,               0.009604,               0.009604,               0.009604
                     14,                 1.2043,                0.92253,                 1.1244,                0.67247,                0.49018,                0.54579,                0.29241,                 1.6634,                 1.3223,                  1.401,               0.009571,               0.009571,               0.009571
                     15,                 1.2078,                0.91336,                 1.1192,                0.67786,                0.47813,                0.54329,                0.28534,                 1.7064,                 1.3191,                 1.4317,               0.009538,               0.009538,               0.009538
                     16,                  1.191,                0.89633,                  1.113,                0.65833,                0.48001,                0.52929,                  0.283,                 1.6656,                 1.3496,                 1.3902,               0.009505,               0.009505,               0.009505
                     17,                 1.1646,                0.87769,                 1.1019,                0.68354,                0.47332,                0.53324,                0.28913,                 1.6246,                 1.3052,                 1.3724,               0.009472,               0.009472,               0.009472
                     18,                 1.1443,                0.86906,                 1.0904,                0.70486,                0.49247,                0.56342,                0.30154,                 1.6432,                  1.256,                 1.3719,               0.009439,               0.009439,               0.009439
                     19,                 1.1455,                0.86253,                 1.0953,                0.68641,                0.51902,                0.57533,                0.31118,                 1.6296,                 1.2303,                 1.3713,               0.009406,               0.009406,               0.009406
                     20,                 1.1325,                0.84862,                  1.091,                0.67914,                0.49591,                0.56418,                0.30466,                 1.6327,                 1.2709,                  1.342,               0.009373,               0.009373,               0.009373
                     21,                 1.1316,                0.85788,                 1.0903,                0.69296,                0.53679,                 0.5921,                0.31649,                 1.6257,                  1.219,                 1.3794,                0.00934,                0.00934,                0.00934
                     22,                 1.1319,                0.85274,                 1.0991,                0.68965,                0.52534,                0.57877,                 0.3163,                 1.5644,                 1.2165,                 1.3466,               0.009307,               0.009307,               0.009307
