                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4111,                 1.8983,                 1.1652,                0.59261,                0.42581,                0.44972,                 0.2141,                 1.7509,                 1.9498,                 1.4246,             0.00055301,             0.00055301,             0.00055301
                      2,                 1.4646,                 1.4185,                 1.2187,                0.58381,                0.44447,                0.44999,                0.21291,                 1.8522,                   2.03,                 1.5033,              0.0010977,              0.0010977,              0.0010977
                      3,                 1.4857,                 1.2917,                 1.2391,                 0.5533,                0.39078,                0.40221,                0.19775,                 1.8936,                 1.8325,                 1.5648,              0.0016314,              0.0016314,              0.0016314
                      4,                 1.4466,                 1.2206,                 1.2214,                 0.5703,                0.42593,                0.45285,                0.22684,                 1.8453,                 1.6889,                 1.4938,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3919,                 1.1214,                 1.1913,                0.57081,                0.42598,                0.45033,                0.22629,                 1.7823,                 1.6053,                  1.479,               0.001601,               0.001601,               0.001601
                      6,                 1.3298,                 1.0758,                 1.1762,                0.62616,                0.38748,                  0.431,                0.22007,                 1.8129,                 1.8383,                 1.4997,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3123,                  1.031,                 1.1577,                0.63923,                0.47835,                0.52208,                 0.2679,                 1.7351,                 1.4264,                 1.4066,               0.001568,               0.001568,               0.001568
                      8,                  1.261,                0.97752,                 1.1418,                0.62212,                0.47532,                 0.5068,                 0.2602,                 1.7155,                 1.4477,                  1.422,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2593,                0.95747,                 1.1356,                0.63619,                0.48774,                0.52791,                0.27397,                 1.7175,                 1.4265,                 1.4315,               0.001535,               0.001535,               0.001535
                     10,                 1.2353,                0.94376,                 1.1259,                   0.65,                0.50245,                0.53852,                0.28608,                 1.6747,                 1.3284,                 1.3836,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1973,                0.91948,                 1.1195,                0.67898,                0.47926,                0.53454,                0.28186,                  1.708,                 1.3805,                 1.4185,               0.001502,               0.001502,               0.001502
                     12,                 1.1904,                0.90546,                 1.1068,                0.66108,                0.50152,                0.55846,                 0.3022,                 1.6398,                 1.3011,                 1.3544,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1578,                0.87986,                 1.1043,                0.65393,                0.48501,                0.54369,                0.29043,                  1.683,                 1.3228,                 1.3714,               0.001469,               0.001469,               0.001469
                     14,                 1.1505,                 0.8767,                 1.1021,                0.69974,                 0.5246,                0.58032,                0.31004,                 1.6478,                 1.2052,                 1.3681,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1472,                0.86247,                 1.1004,                0.71801,                0.52246,                0.59623,                0.32366,                 1.6017,                 1.1882,                 1.3408,               0.001436,               0.001436,               0.001436
                     16,                 1.1205,                0.83677,                 1.0864,                0.69997,                0.51649,                0.58184,                0.31727,                 1.6088,                 1.2268,                 1.3336,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1093,                0.83107,                 1.0803,                0.67565,                0.52894,                0.57945,                0.32104,                 1.5809,                 1.1862,                 1.3277,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0979,                0.81064,                 1.0681,                0.69147,                0.53119,                0.58548,                0.32905,                 1.5601,                 1.1753,                 1.3204,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0949,                0.82167,                 1.0816,                0.70023,                0.53257,                0.59313,                0.32615,                  1.565,                 1.1866,                 1.3218,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.077,                0.80224,                 1.0694,                0.70739,                0.53177,                0.59327,                0.32372,                  1.598,                 1.1793,                 1.3345,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0706,                0.79432,                 1.0653,                0.72804,                0.54325,                0.60892,                0.33793,                 1.5744,                 1.1648,                 1.3183,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0702,                 0.8035,                 1.0752,                0.70024,                0.54349,                0.59983,                0.33386,                 1.5463,                 1.1344,                 1.3101,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0421,                0.77219,                 1.0529,                0.74395,                0.54081,                0.61866,                0.34386,                 1.5504,                 1.1262,                 1.3002,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.049,                0.77499,                 1.0587,                0.69665,                0.54406,                0.59696,                0.33326,                 1.5396,                 1.1595,                 1.3014,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.028,                 0.7531,                 1.0565,                0.71451,                0.54079,                0.60826,                0.34151,                  1.543,                  1.128,                 1.2964,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.016,                0.74638,                 1.0465,                0.72908,                0.56373,                0.63132,                0.35374,                 1.5193,                 1.1055,                 1.2931,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0049,                0.73635,                 1.0401,                 0.7297,                0.54223,                0.61213,                0.34379,                 1.5348,                 1.1306,                 1.2925,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0068,                0.74647,                 1.0462,                0.73299,                0.54161,                0.61195,                0.34487,                 1.5223,                 1.1103,                  1.306,              0.0012214,              0.0012214,              0.0012214
                     29,                 0.9929,                0.71595,                  1.036,                0.71455,                0.56338,                0.62794,                0.35427,                 1.5005,                 1.0863,                 1.2763,              0.0012049,              0.0012049,              0.0012049
                     30,                0.99024,                0.71903,                 1.0406,                0.73718,                  0.569,                0.64105,                0.35746,                  1.503,                 1.0665,                 1.2801,              0.0011884,              0.0011884,              0.0011884
                     31,                0.99516,                0.72165,                   1.04,                0.72724,                0.56254,                0.63151,                0.34965,                 1.5425,                  1.092,                 1.3008,              0.0011719,              0.0011719,              0.0011719
                     32,                0.98619,                0.72122,                 1.0354,                0.75991,                0.55862,                0.64565,                0.36537,                 1.4887,                 1.0498,                 1.2585,              0.0011554,              0.0011554,              0.0011554
                     33,                0.98616,                0.71531,                 1.0349,                 0.7478,                0.58574,                0.64746,                0.36656,                 1.4813,                 1.0278,                 1.2692,              0.0011389,              0.0011389,              0.0011389
                     34,                0.96388,                0.70121,                 1.0278,                0.74666,                0.57582,                0.64552,                0.36318,                 1.4878,                 1.0567,                 1.2709,              0.0011224,              0.0011224,              0.0011224
                     35,                0.96872,                0.70907,                 1.0273,                0.73767,                0.57189,                0.64603,                0.36691,                 1.4812,                 1.0364,                 1.2664,              0.0011059,              0.0011059,              0.0011059
                     36,                0.95879,                0.68977,                 1.0243,                0.75158,                0.56479,                0.64447,                0.36434,                 1.4801,                 1.0333,                 1.2592,              0.0010894,              0.0010894,              0.0010894
                     37,                0.94561,                 0.6852,                 1.0266,                0.75772,                0.56049,                 0.6393,                0.36528,                 1.4824,                  1.036,                 1.2739,              0.0010729,              0.0010729,              0.0010729
                     38,                0.95008,                0.68361,                 1.0248,                0.74046,                0.58979,                0.65405,                0.37256,                 1.4525,                 1.0147,                 1.2518,              0.0010564,              0.0010564,              0.0010564
                     39,                0.94827,                0.69238,                 1.0238,                0.74911,                0.58996,                0.65801,                0.37774,                 1.4563,                 1.0087,                 1.2545,              0.0010399,              0.0010399,              0.0010399
                     40,                0.93324,                0.66686,                 1.0128,                0.74551,                 0.5819,                0.65876,                0.37849,                  1.461,                 1.0224,                 1.2498,              0.0010234,              0.0010234,              0.0010234
                     41,                0.92853,                 0.6716,                 1.0164,                 0.7578,                0.58723,                0.66078,                0.38275,                 1.4614,                 1.0105,                 1.2507,              0.0010069,              0.0010069,              0.0010069
                     42,                0.94136,                0.68033,                 1.0199,                0.76393,                0.56599,                0.65166,                0.37952,                  1.448,                  1.048,                 1.2458,             0.00099036,             0.00099036,             0.00099036
                     43,                0.89287,                0.64553,                 1.0068,                0.74399,                0.60267,                0.66242,                 0.3807,                 1.4413,                0.99144,                 1.2434,             0.00097386,             0.00097386,             0.00097386
